"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"9";"Land mine";"3";"1";"Marinka, Ukraine";"Three Ukrainian soldiers were killed and another one injured when a landmine exploded in the town of Marinka.[52]";"Donetsk People's Republic";"War in Donbass";"September";"2016"
"10";"Car bombings";"40 (+2)";"60";"Baghdad, Iraq";"9 September 2016 Baghdad bombings: Two car bombs exploded outside a crowded shopping center, killing at least 40 people, and wounding 60 more. Most of the victims were Shi'a Muslims. The attack was claimed by Islamic State.[53]";"Islamic State";"Iraqi Civil War";"September";"2016"
"10";"Melee attack";"0";"1";"Minto, Australia";"A 22-year-old man inspired by the Islamic State allegedly stabbed a man before being arrested.[54]";"Lone wolf";"";"September";"2016"
"10";"Bombing";"1";"0";"Tunceli province, Turkey";"A bomb killed a civilian in Tunceli province, Turkey.[55]";"PKK (suspected)";"Kurdish–Turkish conflict";"September";"2016"
"11";"Melee attack";"0 (+3)";"2";"Mombasa, Kenya";"Three women dressed in burkas were killed by security forces after attacking a police station on the Kenyan coast.[56][57]";"Islamic State";"";"September";"2016"
"11";"Shooting";"4";"2 Kidnapped";"Isolo, Somalia";"A woman and three men were found dead in Isiolo after being kidnapped by Somali herdsmen.[58]";"Somali Herdsmen";"Somali Civil War";"September";"2016"
"11";"Shooting";"2";"4";"Ayourou, Niger";"In Niger, a targeted attack in the Tabarey Barey refugee camp (on the border with Mali and home to thousands of Malian refugees) killed at least two civilians. The attackers, not yet identified, are still at large.[59]";"Unknown";"Northern Mali conflict";"September";"2016"
"11";"Suicide bombing";"7 (+1)";"15";"al-Wade'a District, Yemen";"At least 7 policemen were killed and another 15 injured in a suiciding bombing in al-Wadea district.[60]";"Unknown";"Yemeni Civil War";"September";"2016"
"11";"Land mine";"1";"0";"Hesarak District, Afghanistan";"A roadside bombing left a senior police commander dead. The attack occurred in Hesarak District.[61]";"Taliban";"War in Afghanistan";"September";"2016"
"11";"Shooting";"5";"0";"Ar-Rutbah, Iraq";"Islamic State members attacked a police station in Ar-Rutbah, killing five members of the Federal Police.[62]";"Islamic State";"Iraqi Civil War";"September";"2016"
"12";"Execution";"8";"0";"Mosul, Iraq";"Islamic State members executed eight civilians by drowning them in a metal cage.[63]";"Islamic State";"Iraqi Civil War";"September";"2016"
"12";"Bombing";"2";"5";"Baghdad, Iraq";"An improvised explosive device exploded near a sheep market in Madain district in southern Baghdad, killing two persons and wounding five others.[64]";"Unknown";"Iraqi Civil War";"September";"2016"
"12";"Execution";"19";"0";"Deir ez-Zor, Syria";"Islamic State executed 19 civilians during Eid al-Adha for allegedly spying for the United States.[65]";"Islamic State";"Syrian Civil War";"September";"2016"
"12";"Bombing";"1";"7";"Anantnag, India";"One civilian was killed and four policemen were among six people injured when terrorists threw a grenade at a police post in Jammu and Kashmir.[66]";"Unknown";"Kashmir conflict";"September";"2016"
"13";"Suicide bombing";"0 (+1)";"10-13";"Shikarpur, Pakistan";"A suicide bomber injured between 10 and 13 people, including 4 policemen.[67] The attack occurred in the city of Shikarpur, in Sindh Province.[68]";"Unknown";"War in North-West Pakistan";"September";"2016"
"13";"Bombing";"2";"5-10";"Quetta, Pakistan";"A bomb killed 2 people and injured between 5 and 10.[69] The attack occurred in Quetta.[70]";"Unknown";"War in North-West Pakistan";"September";"2016"
"13";"Shooting";"1 (+Unknown)";"Unknown";"Manipur, India";"One of Zeliangrong United Front militant was killed after a large firefight with militants NSCN, authorities said.[71]";"NSCN";"Insurgency in Manipur";"September";"2016"
"13";"Car Bomb";"0";"53";"Van Province, Turkey";"The explosion occurred on Monday morning in the city center, next to the office of the governor of the Van Province, the provincial headquarters of the ruling Justice and Development Party by a police station.[72]";"PKK";"Kurdish–Turkish conflict";"September";"2016"
"14";"Arson";"0";"0";"Ontario, Canada";"An assailant set fire to Ibrahim Jame Mosque in Hamilton, Ontario, Canada. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources identified the assailant, Keith Frederick, as an anti-Muslim extremist.[73]";"Anti-muslim Lone wolf";"Terrorism in Canada";"September";"2016"
"14";"Bombing";"1";"3";"Kabul, Afghanistan";"A bomb killed 1 and injured another 3 in Kabul.[74]";"Unknown";"War in Afghanistan";"September";"2016"
"14";"Roadside Bombing";"Unknown";"Unknown";"Al-Arish, Sinai, Egypt";"A police vehicle was targeted by an improvised explosive device IED on Monday evening in the North Sinai city of Al-Arish, a North Sinai based journalist told Daily News Egypt on condition of anonymity.[75]";"Islamic State";"Sinai Insurgency";"September";"2016"
"14";"Roadside Bombing";"2";"1";"Faryab, Afghanistan";"A roadside bomb killed 2 Afghan soldiers and injured 1 more in Faryab Province.[76]";"Unknown";"War in Afghanistan";"September";"2016"
"15";"Bombing";"2";"5";"Baghdad, Iraq";"A bomb targeting an Iraqi army patrol exploded in Arab Jibor, in the south of Baghdad. Two army personnel were killed and five others injured.[77]";"Unknown";"Iraqi Civil War";"September";"2016"
"15";"Execution";"1";"0";"Sharqat, Iraq";"A woman in Sharqat was killed by the Islamic State after she hurled stones at the members of the outfit as they had killed her only son right in front of her eyes. The lady, her son and few others were trying to escape from Sharqat when they came face-to-face with Islamic State militants.[78]";"Islamic State";"Iraqi Civil War";"September";"2016"
"15";"Land mine";"3";"Unknown";"Near Mogadishu, Somalia";"A bus transporting food consignment to the city of Kismayo detonated a landmine, killing 3 civilians, including the bus driver. The landmine was believed to be targeting government forces and AU troops in Southern Somalia.[79]";"Al-Shabab (suspected)";"War in Somalia";"September";"2016"
"15";"Bombing";"3";"0";"Bujumbura, Burundi";"A former army officer and his family were killed in a grenade attack on their home in Burundi, a government official said, in the latest episode of political violence that has plagued the central African country for more than a year.[80]";"Unknown";"Burundian unrest";"September";"2016"
"16";"Suicide Bombing";"30 (+1)";"28";"Mohmand Agency, Pakistan";"2016 September Pakistan mosque bombing: A suicide bomber attacked a Sunni mosque in northwest Pakistan, killing at least 30 worshippers and wounding 28 others, officials said. Several children were also among those killed or wounded in the deadly attack. A breakaway Taliban group later claimed responsibility for the bombing.[81]";"Jamaat-ul-Ahrar";"War in North-West Pakistan";"September";"2016"
"16";"Shooting";"2";"3";"Sofala, Mozambique";"Gunmen belonging to the rebel movement Renamo murdered two people and injured three others in an attack on a pick-up truck traveling on the road from Nhamapadza to Caia, part of the main north-south highway in the province of Sofala.[82]";"RENAMO";"RENAMO insurgency";"September";"2016"
"16";"Melee attack";"0 (+1)";"1";"East Jerusalem";"A Palestinian wounded an Israeli policewoman with a knife near the Damascus Gate. He was shot and killed.[83]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
"16";"Shooting";"7";"0";"Baardheere, Somalia";"Al-Shabaab has attacked a town near the Kenya-Somalia border and killed at least seven Somali soldiers.[84]";"Al-Shabab";"War in Somalia";"September";"2016"
"16";"Vehicular attack";"0 (+1)";"3 (+1)";"Kiryat Arba, West Bank";"A Palestinian terrorist wounded three civilians in a car ramming attack near the settlement of Kiryat Arba in the West Bank. The perpetrator was killed.[85]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
"16";"Melee attack";"0 (+1)";"1";"Hebron, West Bank";"An Israeli soldier was stabbed in Hebron in the West Bank. He was evacuated to the hospital Jerusalem and treated for minor injuries. The perpetrator was shot and killed on the spot[85]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
"17–19";"Bombings, shootout";"0";"32 (+1)";"New York and New Jersey, United States";"2016 New York and New Jersey bombings: Around 9:30 am, a pipe bomb exploded in a trash can in Seaside Park, New Jersey, but no one was injured. Later that day, at around 8:30 pm, a homemade pressure cooker bomb exploded in the Chelsea neighborhood of Manhattan, injuring 29 people. A second pressure cooker bomb was promptly discovered four blocks away, but did not detonate. The following day, two homeless men discovered a backpack containing several pipe bombs, similar to the one that exploded in Seaside Park, in Elizabeth, New Jersey. On September 19, the perpetrator of the attacks, Ahmad Khan Rahami, was captured in Linden, New Jersey after a shootout with police forces which left three officers and Rahami wounded.";"Ahmad Khan Rahami (suspect)";"";"September";"2016"
"17";"Melee attack";"0 (+1)";"1";"Hebron, West Bank";"An Israeli soldier was stabbed in Hebron in the West Bank by a Palestinian man, who was shot and killed by Israeli forces.[86]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
"17";"Land mine";"4";"1";"Kapisa province, Afghanistan";"A roadside bomb killed 4 people and injured another 5 in Kapisa province.[87]";"Taliban (suspected)";"War in Afghanistan";"September";"2016"
"17";"Unknown";"7";"0";"Somalia";"Insurgents from the terrorist group Al-Shabaab killed 7 Somali soldiers.[88]";"Al-Shabaab";"War in Somalia";"September";"2016"
"18";"Shooting, melee attack";"26";"Unknown";"Ndomete, Central African Republic";"Séléka rebels killed 26 civilians in a village in northern Central African Republic.[89]";"Séléka";"Central African Republic Civil War";"September";"2016"
"18";"Shooting";"19 (+4 Attackers)";"30";"Uri, India";"2016 Uri attack: Seventeen Indian soldiers were killed by suspected rebels in an attack against a base in Indian Kashmir.[90]";"Unknown";"Kashmir conflict";"September";"2016"
"18";"Melee attack";"0";"1 (+1)";"Efrat, West Bank";"An Israeli soldier was stabbed in Efrat, in the West Bank, by a Palestinian man, who was subsequently shot and wounded by Israeli forces.[91]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
"18";"Shootdown";"1";"0";"Deir al-Zour, Syria";"ISIS shot down a Syrian Air Force warplane, killing the pilot.[92]";"Islamic State";"Syrian Civil War";"September";"2016"
"18";"Suicide car bombing";"5 (+1)";"Unknown";"Mogadishu, Somalia";"A senior military official and four of his bodyguards were killed in Mogadishu, in a suicide attack claimed by the Al-Shabaab Islamists.[93]";"Al-Shabaab";"War in Somalia";"September";"2016"
"18";"Execution";"5";"0";"Matbija, Iraq";"ISIS executed four people after accusing them of cooperating with Iraqi forces, causing an airstrike that killed many of their senior commanders along with others.[94] They also executed another suspected spy by tying him to a pole and torturing him to death.[95]";"Islamic State";"Iraqi Civil War";"September";"2016"
"18";"Shooting";"2";"0";"Dammam, Saudi Arabia";"Government spokesman says the two policemen were killed after facing heavy gunfire while patrolling the city.[96]";"Unknown";"";"September";"2016"
"18";"Suicide bombing";"8 (+1)";"0";"Kwamjilari, Nigeria";"The Nigerian army has dispelled reports that 8 people were killed in an attack by Boko Haram fighters in Borno state.[97]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"19";"Shooting";"40 (+ Unknown)";"Unknown";"Malam Fatori, Nigeria";"[98]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"18";"Arson";"0";"0";"Montreal, Canada";"An assailant threw a Molotov cocktail at a Haitian radio station in Montreal, Canada. No casualties were reported in the attack. No one claimed responsibility for the incident.[99]";"Unknown";"Terrorism in Canada";"September";"2016"
"19";"Clash";"14";"Unknown";"Lahj Governorate Yemen";"The Houthi forces, carried out a successful attack against the Saudi-led Coalition and Hadi loyalist.in the Lahj Governorate on Monday, killing and wounding several fighters from the latter. According to local activists, the Houthi forces and their allies carried out a powerful attack against the pro-regime groups at the outskirts of Kahbob in the Lahj Governorate.[100]";"Houthi";"Yemeni Civil War";"September";"2016"
"19";"Bombing";"3";"5";"Baghdad, Iraq";"Three people were killed and five wounded in Baghdad on Monday by an improvised bomb that targeted a grocery store, Iraqi police and media said.[101]";"Islamic State";"Iraqi Civil War";"September";"2016"
"19";"Melee attack";"0 (+1)";"2";"East Jerusalem,";"A Palestinian wounded two Israeli police officers with a knife near Herod's Gate. He was shot and killed by security forces.[102]";"Palestinian Lone wolf";"Israeli–Palestinian conflict";"September";"2016"
