"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
14;"Bombing";"1";"2";"Homs, Syria";"A bomb blast hit a passenger bus in the city of Homs, Syria killing five people and wounding six.[45]";"Tahrir al-Sham (suspected)";"Syria Civil War";"March";"2017"
14;"Shooting";"2";"0";"Dinajpur, Bangladesh";"A Sufi spiritual leader and his daughter were shot and hacked to death by unknown militants in northern Bangladesh.[46]";"Jihadists";"Internal conflict in Bangladesh";"March";"2017"
15;"Suicide bombings";"40 (+2)";"30+";"Damascus, Syria";"March 2017 Damascus bombings: A suicide bomber detonated his vest outside the Palace of Justice, killing and injuring dozens. A second suicide blast took place at a restaurant in the Rabweh area of Damascus, killing and injuring an unknown number of people.In the two attacks, 40 people were killed and more than 30 were injured.[47]";"Islamic State";"Syrian Civil War";"March";"2017"
15;"Ambush";"5 (+Unknown)";"Unknown";"Magumeri, Nigeria";"Four soldiers and a police officer were killed in a Boko Haram ambush.[48]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
15;"Suicide bombings";"6 (+4)";"16";"Maiduguri, Nigeria";"Four female teenage suicide bombers killed six people and injured 16 others in a residential area in the Nigerian city of Maiduguri.[49]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
15;"Bombing";"2";"3+";"Diyarbakir, Turkey";"Two Turkish soldiers were killed Wednesday following the detonation of an improvised explosive device (IED) on the highway linking eastern Diyarbakir and Mardin provinces.[50]";"PKK";"Kurdish–Turkish conflict";"March";"2017"
16;"Execution";"1";"0";"Philippines";"A Vietnamese seafarer who was kidnapped on February 19th by Abu Sayyaf was killed while trying to escape his captors.[51]";"Abu Sayyaf";"Moro conflict";"March";"2017"
16;"Shooting, arson";"3+";"Several";"Borno State, Nigeria";"Two soldiers and a police officer were killed and many others were injured in a Boko Haram attack. But the deputy governor of the Borno state says many soldiers may have been killed.[52]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
16;"Bombing";"0";"1";"Paris, France";"An explosion following the opening of a trapped envelope caused a wounded in the 16th arrondissement of Paris, the address of the European headquarters of the International Monetary Fund.[53]";"Conspiracy of Fire Nuclei";"Terrorism in France";"March";"2017"
16;"Assassination";"1";"0";"Coimbatore, India";"H.Farook, 31, from Bilal Estate in South Ukkadam was hacked to death by a four-six member gang on Thursday night. Reasons for murder were Farook's criticism of religion and rationalistic views.[54]";"Jihadists";"Terrorism in India";"March";"2017"
17;"Suicide bombing";"0 (+1)";"2";"Dhaka, Bangladesh";"2017 Dhaka RAB Camp Sucide Bombing Attack: A suicide bomber blew himself up inside a camp of Bangladesh's anti-crime Rapid Action Battalion, injuring two security personnel.[55]";"Islamic State";"Terrorism in Bangladesh";"March";"2017"
17;"Ambush";"1";"1";"Borno State, Nigeria";"A police officer was killed and another was injured in a Boko Haram ambush.[56]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
17;"Shooting";"3 (+6)";"7";"Khyber Pakhtunkhwa and Shabqadar, Pakistan";"Three soldiers were killed in two separate attacks carried out by Jamaat-ul-Ahrar militants.[57]";"Jamaat-ul-Ahrar";"Operation Ghazi";"March";"2017"
18;"Assault, shooting";"0 (+1)";"4";"Stains and Orly, France";"On the 18 March, a man shot and seriously wounded three police officers. Later, a soldier incurred minor injuries when she was assaulted by the same man as tried to take her gun in Paris Orly airport. Two soldiers on patrol subsequently shot the suspect dead and the stolen gun was retrieved.[58][59][60]";"Jihadist";"Wave of Terror in Europe";"March";"2017"
18;"Shooting";"3";"1";"Ayacucho, Peru";"Three policemen were killed and another injured during an ambush in Ayacucho region.[61]";"Shining Path";"Internal conflict in Peru";"March";"2017"
19;"Suicide bombings";"4 (+3)";"8";"Maiduguri, Nigeria";"Three suicide bombers killed at least four people and injured eight others in the Nigerian city of Maiduguri.[62]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
20;"Shooting";"1+ (+Unknown)";"13+";"Magumeri, Nigeria";"At least a soldier was killed and 13 others were injured in an operation against Boko Haram militants.[63]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
20;"Car bombing";"23";"45";"Baghdad, Iraq";"A car bombing killed 23 people and injured more than 40 others in a commercial area of the southwestern Hayy Al-A'amel suburb.[64]";"Islamic State";"Iraqi Civil War";"March";"2017"
20;"Shooting";"2 (+7)";"Unknown";"Far North Region, Cameroon";"Two persons were killed in a Boko Haram attack in Cameroon. Seven attackers were also killed.[65]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
21;"Attempted Suicide Bombing";"0 (+2)";"0";"Kolofata, Cameroon";"One terrorist was shot dead while the other blew herself up killing no one else. It was not clear whether the attackers were males or females.[66]";"Boko Haram (suspected)";"Boko Haram insurgency";"March";"2017"
21;"Suicide car bombing";"7 (+1)";"14";"Helmand Province, Afghanistan";"A suicide car bomb targeted a checkpoint in Afghanistan’s Helmand province, killing at least six members of an intelligence unit.[67][68]";"Taliban";"War in Afghanistan";"March";"2017"
21;"Car bombing";"4";"Several";"Mogadishu, Somalia";"At least four people were killed when a car bomb exploded at a checkpoint less than a kilometre away from the presidential compound in Mogadishu.[69]";"Al-Shabaab";"War in Somalia";"March";"2017"
21;"Shooting";"1";"9";"Sultan Kudarat, Philippines";"At least one marine was killed and other nine were wounded in a NPA ambush in Sultan Kudarat,Philippines.[70]";"New People's Army";"CPP–NPA–NDF rebellion";"March";"2017"
22;"Shooting";"1";"4";"Hakkari, Turkey";"A Turkish soldier was killed and four others were wounded in an armed attack carried out by PKK militants at the Gerkitepe Base defense zone in the district of Çukurca in southeastern Hakkari province.[71]";"PKK";"Kurdish–Turkish conflict (2015–present)";"March";"2017"
22;"Shooting";"0";"Unknown";"Donetsk, Ukraine";"In the city of Donetsk, a group of pro-Russian supporters attacked the headquarters of the local football team.[72]";"Donetsk People's Republic";"War in Donbass";"March";"2017"
22;"Sucide bombings";"8 (+5)";"20+";"Maiduguri, Nigeria";"2017 Maiduguri attack: At least eight people have been killed in multiple suicide blasts along a highway in Maiduguri.[73]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
