"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"7";"Shooting, clashes";"59";"38";"Puntland, Somalia";"Battle of Af Urur: Al Shabaab militants killed 61 people,[37] mostly soldiers, in an attack on a military base in Somalia's semi-autonomous Puntland.[38]";"Al Shabaab";"War in Somalia";"June";"2017"
"8";"Suicide bombing";"14 (+3)";"24";"Maiduguri, Nigeria";"At least fourteen persons were killed and 24 were injured as Boko Haram suicide bombers staged multiple attacks targeting mosques where Muslim worshippers were praying.The attack occurred while soldiers were trying to repel another group of Boko Haram fighters, who were trying to invade the city.[39]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"8";"Bombing";"0";"0";"Kiev, Ukraine";"A device exploded outside of the U.S. Embassy in Ukraine's capital Kiev. The police are investigating it as an act of terrorism.[40]";"Donetsk People's Republic (suspected)";"War in Donbass";"June";"2017"
"8";"Bombing, shooting";"9 (+4)";"8";"Diyala, Iraq";"Thirteen civilians were killed, while eight others, including Islamic State militants, were wounded in violent attacks that occurred in several regions in Diyala.[36]";"Islamic State";"Iraqi Civil War";"June";"2017"
"8";"Bombing";"3";"2";"Jowhar, Somalia";"A blast hit a military vehicle near Hansholey area, about 5 km on the south of Jowhar, killing the three soldiers instantly and injuring two others.[41]";"Al-Shabaab (suspected)";"War in Somalia";"June";"2017"
"8";"Bombing";"1";"1";"Kasserine, Tunisia";"A mine exploded at Jebel Mghila (Sidi Bouzid), during a sweep operation, killing a soldier and wounding another.[42]";"Islamic State (suspected)";"ISIL insurgency in Tunisia";"June";"2017"
"8";"Kidnapping, execution";"2";"0";"Quetta, Pakistan";"Islamic State has killed two Chinese citizens kidnapped in southwest Pakistan last month, the militant group's Amaq news agency said.[43]";"Islamic State";"War in North-West Pakistan";"June";"2017"
"8";"Ambush";"14";"35";"Moli, South Sudan";"At least 14 people have been killed and 35 wounded after an ambush by armed men to a convoy of buses and cars on the main road in South Sudan.[44]";"Sudan People's Liberation Army (suspected)";"South Sudanese Civil War";"June";"2017"
"8";"Shooting";"1";"2";"Balad District, Iraq";"A civilian was killed and two others were wounded in an armed attack in Balad District, south of Tikrit.[45]";"Islamic State";"Iraqi Civil War";"June";"2017"
"9";"Suicide bombing";"30 (+1)";"35";"Kerbala, Iraq";"A woman detonated her explosive belt in a market east of the Shi'ite holy city of Kerbala on Friday, killing at least 30 and wounding 35.[46]";"Islamic State";"Iraqi Civil War";"June";"2017"
"9";"Bombing";"1";"5";"Baghdad, Iraq";"A policeman was killed, five others were wounded as two bomb blasts took place south of Baghdad[47]";"Islamic State";"Iraqi Civil War";"June";"2017"
"9";"Shelling";"3";"3";"Kidal, Mali";"Three peacekeepers have been killed, and three others wounded in an attack in the northern city of Kidal.[48]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb";"June";"2017"
"9";"Suicide bombing";"30 (+1)";"35";"Musayyib, Iraq";"At least 30 people were killed and some 35 others wounded in a suicide bomb attack. The attack occurred when a suicide bomber detonated his explosive belt at a crowded market at the entrance of the town of Musaiyab, south of Baghdad.[49]";"Islamic State";"Iraqi Civil War";"June";"2017"
"9";"Suicide car bombing, shooting";"1 (+1)";"4";"Batman, Turkey";"Three people were wounded in a suicide car bombing near a Police Station in Turkey's Batman. A short time later, terrorists opened fire against a car, killing one person and wounding another one.[50]";"PKK";"Kurdish–Turkish conflict";"June";"2017"
"9";"Bombing";"2";"3";"Adamawa State, Nigeria";"Two teenagers were killed, all boys, and three others injured when a bomb concealed in a polythene bag exploded.[51]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"9";"Shooting";"3";"9";"Paktia, Afghanistan";"At least three civilians were killed and nine were wounded when insurgents opened fire on people attending prayers at a mosque in Paktia province.[52]";"Taliban (suspected)";"War in Afghanistan";"June";"2017"
"9";"Suicide bombing";"1 (+1)";"2";"Kolofata, Cameroon";"A soldier was killed when a female suicide bomber detonated her explosive vest in a military base.[53]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"9";"Shooting";"14";"20";"Baidoa, Somalia";"At least 14 people, most of them civilians, have been killed after soldiers clashed over food aid in Somalia's drought-stricken city of Baidoa. At least 20 people were injured. Some were in critical condition, a nurse at Baidoa's main hospital, Mohamed Ahmed, told the Associated Press news agency.[54]";"Al-Shabaab";"War in Somalia";"June";"2017"
"10";"Kidnapping, stabbing";"4";"6";"Gwoza, Nigeria";"Ten members of the Nigerian jihadist group raided the village of Hambagba, near Gwoza, on the Cameroon border, kidnapping six people and killing four others.[55]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"10";"Shooting";"2";"0";"Soum Province, Burkina Faso";"Two people were killed on Saturday night in Soum Province in a shooting incident.[56]";"Ansar ul Islam";"Insurgency in the Maghreb";"June";"2017"
"11";"Bombing";"2";"3";"Kobane, Syria";"At least two children were killed and three other civilians were injured after a landmine planted by ISIS extremists exploded in the Kurdish city of Kobane.[57]";"Islamic State";"Syrian Civil War";"June";"2017"
"11";"Clashes";"4";"8";"Homs Governorate, Syria";"Four Syrian soldiers were killed and eight injured in an ISIS attack in the city of Al Talila, in Homs Governate.[58]";"Islamic State";"Syrian Civil War";"June";"2017"
"11";"Suicide bombing";"2 (+1)";"5";"Diyala, Iraq";"A suicide attacker killed two and wounded five others in an attack launched midnight against security checkpoint in Diyala province.[59]";"Islamic State";"Iraqi Civil War";"June";"2017"
"11";"Shooting";"3";"0";"Quetta, Pakistan";"Gunmen riding a motorcycle killed three policemen at a checkpoint in Quetta on Sunday before fleeing the scene. The attack was later claimed by a local affiliate of the Islamic State group.[60]";"Islamic State (claimed)";"War in North-West Pakistan";"June";"2017"
"11";"Jailbreak";"11";"Unknown";"Beni, Democratic Republic of Congo";"Eleven people were killed when militants attacked a prison in the Democratic Republic of Congo and freed more than 930 inmates.[61]";"Mai-mai Militants (suspected)";"Ituri conflict";"June";"2017"
"11";"Bombing";"1";"2";"Al-Awamiyah, Saudi Arabia";"One soldier was killed and two wounded after a bomb attack in the town of Al-Awamiyah.[62]";"Shia militants";"2017 Qatif unrest";"June";"2017"
"11";"Shooting";"2";"11";"Bingol province, Turkey";"At least 11 security personnel injured in PKK attacks. A soldier and village guard killed, 6 military personnel wounded in 3 separate PKK attacks.[63]";"PKK";"Kurdish–Turkish conflict";"June";"2017"
"12";"Car bombing, shooting";"2 (+10)";"Unknown";"Hadhramaut Governorate, Yemen";"Al-Qaeda militants launched a car-bomb and gun attack on an army camp in southeastern Yemen, leaving at least 10 militants and two soldiers dead.[64]";"Al-Qaeda in the Arabian Peninsula";"Yemeni Civil War";"June";"2017"
"12";"Bombing";"0";"0";"Guaviare, Colombia";"A motorcycle loaded with explosives exploded in front of a savings cooperative in the central area of the municipality of Calamar (Guaviare) near 2:10 pm on Monday.[65]";"FARC Dissidents";"Colombian conflict";"June";"2017"
"12-13";"Grenade attack";"0";"12";"Kashmir, India";"Ten CRPF troopers were injured in a grenade attack in Jammu and Kashmir district.[66] The previous day ilitants launched a grenade attack on CRPF battalion in Pulwama's Tral area.[67]";"Jaish-e-Mohammed (suspected)";"Kashmir conflict";"June";"2017"
"14";"Shooting";"0 (+1)";"6";"Alexandria, United States";"2017 Congressional Baseball shooting: A gunman targeting republican lawmakers, opened fire at a baseball field in Alexandria, Virginia, leaving at least five wounded. A top US Republican, Steve Scalise, was critically injured.[68]";"Lone wolf";"Terrorism in the United States";"June";"2017"
"14";"Bombing";"7";"6";"Paktika Province, Afghanistan";"In the explosion of a motorcycle bomb in front of the house of a militia chief in the eastern Afghan province of Paktika, seven people have been killed, including six children.[69]";"Taliban";"War in Afghanistan";"June";"2017"
"14";"Kidnapping, shooting";"10";"6";"Chibok, Nigeria";"Boko Haram raided the villages of Komdi and Tuyan, near Chibok, kidnapping six people and killing ten others.[70]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"14-15";"Suicide car bombing, shooting, hostage taking";"31 (+5)";"20+";"Mogadishu, Somalia";"A suicide attack in Mogadishu, capital of[Somalia, has caused at least 31 dead and more than 20 wounded. Militants armed jihadists, posing for the military, have entered a pizzeria and have taken several hostages. Shortly before, a suicide bomber had rammed a car with explosives next to the restaurant.[71]";"Al-Shabaab";"War in Somalia";"June";"2017"
"15";"Suicide bombing";"6 (+1)";"10";"Kabul, Afghanistan";"Six persons were killed and ten others were injured when a suicide bomber detonated his explosive vest in a crowded Shia mosque. The Taliban has rejected any involvement in the attack.[72]";"Islamic State (suspected)";"War in Afghanistan";"June";"2017"
"16";"Stabbing, shooting";"1 (+3)";"4";"Jerusalem, Israel";"June 2017 Jerusalem attack: Border Police guard was killed and four others were lightly to moderately injured in a coordinated stabbing and shooting attack in two areas in Jerusalem's Old City.[73][74]";"Islamic State (claimed) PFLP-GC";"Terrorism in Israel";"June";"2017"
"16";"Bombing";"4";"11";"Mandera, Kenya";"At least four dead and 11 wounded after a bomb exploded next to a bus in the town of Mandera, in Kenya. Police believe that Al-Shabaab was responsible for the attack.[75]";"Al-Shabaab";"Spillover of the War in Somalia";"June";"2017"
"16";"Bombing";"1";"3";"Baghdad, Iraq";"A civilian was killed and three others were wounded when a bomb blast rocked an area north of Baghdad.[76]";"Islamic State";"Iraqi Civil War";"June";"2017"
"16";"Bombing";"0";"1";"Kasserine Governorate, Tunisia";"A woman was wounded after the explosion of an IED planted by militants near Mont Salloum, in the Kasserine Governate.[77]";"Islamic State";"ISIL insurgency in Tunisia";"June";"2017"
"16";"Suicide bombing";"2 (+1)";"Unknown";"Far North Region, Cameroon";"Two civilians were killed in an attack by a Boko Haram suicide bomber in the Far North Region.[78]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"16";"Roadside Bombing";"1";"3";"Arauca Department, Colombia";"One soldier died and three others were injured in Colombia after the detonation of an explosive device attributed by the authorities to the ELN.[79]";"ELN (Suspected)";"Colombian conflict";"June";"2017"
"16";"Shooting";"6";"0";"Anantnag, India";"Six soldiers were shot dead, including an officer, were killed after militants ambushed a police party in south Kashmir's Anantnag district. the group Lashkar-e-Taiba claimed responsibility for the attack.[80]";"Lashkar-e-Taiba";"Kashmir conflict";"June";"2017"
"17";"Bombing";"3";"9";"Bogota, Colombia";"Andino mall Bombing: A bomb exploded in a women's bathroom at Bogota's upscale Andino mall, killing three civilians including a French national and injuring at least nine others. No group has claimed responsibility but Colombian security forces had recently warned that paramilitary group Autodefensas Gaitanistas de Colombia (AGC), was planning on committing attacks in Bogota and Medellin.[81]";"MRP (suspected)";"Colombian conflict";"June";"2017"
"17";"Shooting";"5";"8";"Timbuktu, Mali";"Five Malian soldiers have been killed, and eight others wounded in an assault against a military base near Timbuktu.[82]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb";"June";"2017"
"17";"Arson";"0";"3";"Saavedra, Chile";"A hopper truck and various machinery were destroyed in the region of La Araucanía, in a new incendiary attack in the area that affected the construction company CIAL Ltda. Carabineros said that in the event involved five people.[83] An unknown group claimed responsibility for the attack.[84]";"Weichan Auka Mapu";"Mapuche conflict";"June";"2017"
"17";"Assassination";"1";"0";"Coyoacán, Mexico";"A so-called group individuals tending to the wild, who are defined as eco-terrorists and claimed in their communiqué claimed responsibility for the murder of a student in Ciudad Universitaria in May.[85][86]";"Individuals Tending to the Wild";"Terrorism in Mexico";"June";"2017"
"18";"Bombing";"1";"4";"Cairo, Egypt";"An Egyptian policeman was killed and four wounded by a roadside explosive near the Cairo suburb of Maadi.[87]";"Islamic State (suspected)";"Insurgency in Egypt";"June";"2017"
"18";"Shooting, hostage-taking";"6 (+5)";"Unknown";"Bamako, Mali";"June 2017 Bamako attack: A shooting occurred at a resort popular with westerners in Bamako and hostages were taken. Five people, (a Chinese, a French national, a Portuguese, a Malian and a French-Malian) were killed. A French soldier was also killed during a counter operation.[88]";"Jama'at Nasr al-Islam wal Muslimin (suspected)";"Northern Mali conflict";"June";"2017"
"18";"Suicide bombings";"12+ (+5)";"11+";"Borno State, Nigeria";"At least 12 people have died and 11 others have been wounded in attacks by five suicide women in the Nigerian state of Borno, in the northeast of the country.[89]";"Boko Haram";"Boko Haram insurgency";"June";"2017"
"18";"Bombing";"0";"0";"Saravena, Colombia";"Presumed Eln guerrillas dynamited the Caño Limón-Coveñas pipeline, the main one of Colombia, and caused a oil spill.[90]";"ELN (suspected)";"Colombian conflict";"June";"2017"
