"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
10;"Suicide bombing";"3 (+1)";"16";"Chaman, Pakistan";"A district police officer (DPO), his security guard and a civilian were killed and sixteen others injured when a suicide bomber blew himself up near Eidgah Chowk in Balochistan’s Chaman, Pakistan.[53]";"Lashkar-e-Jhangvi (suspected)";"War in North-West Pakistan";"July";"2017"
10;"Vehicular attack";"0 (+1)";"1";"Gush Etzion, West Bank";"A car was driven into group of Israeli soldiers at the T-junction, in Gush Etzion, West Bank. The Palestinian attacker was then shot dead.[54]";"Palestinian nationalist";"Israeli-Palestinian conflict";"July";"2017"
10;"Bombing";"3";"3";"Hawija, Iraq";"A family of six members were killed and injured due to a bomb blast that targeted families fleeing Islamic State-held Hawija.[55]";"Islamic State";"Iraqi Civil War";"July";"2017"
10;"Shooting";"7";"19";"Anantnag district, India";"2017 Amarnath Yatra attack: In an attack masterminded by Lashkar-e-Taiba, militants first attacked a police bunker and then a police naka party in the Anantnag district. A bus carrying pilgrims to Amarnath Temple was caught in the crossfire between militants and policemen, leaving seven pilgrims dead and 19 others injured.[56]";"Lashkar-e-Taiba";"Insurgency in Jammu and Kashmir";"July";"2017"
10;"Executions";"7";"0";"Tal Afar, Iraq";"Seven children are executed and hung from lamp posts by the Islamic State.[57]";"Islamic State";"Iraqi Civil War";"July";"2017"
10;"Shooting";"2";"7";"Alishing District, Afghanistan";"Taliban have attacked a security outpost in eastern Laghman province, killing two policemen and wounding seven civilians.[58]";"Taliban";"War in Afghanistan";"July";"2017"
10;"Bombing";"0";"0";"Tulsa, United States";"A military recruitment centre in Tulsa, Oklahoma was seriously damaged when a pipe-bomb exploded. No injuries were reported, but the FBI say they are treating the incident as an act of \"domestic terrorism\".[59]";"Lone wolf";"Terrorism in the United States";"July";"2017"
10;"Bombing";"0";"9";"Caracas, Venezuela";"A roadside bomb went off during anti-government protests in the Venezuelan capital of Caracas, leaving nine members of the National Guard injured.[60][61]";"Right Wing Militants (suspected)";"Venezuelan protests";"July";"2017"
10;"Shooting";"1";"2";"Hakkâri Province, Turkey";"A Turkish soldier was shot dead and two others injured in a shooting with members of the PKK.[62]";"PKK";"Kurdish–Turkish conflict";"July";"2017"
10;"Ambush";"8";"0";"Gao Region, Mali";"Ten Malian soldiers went missing after their convoy was attacked on the road between the towns of Gao and Menaka. Two of them managed to escape and were found alive, but the eight other soldiers were killed, and their bodies were found a week after the attack.[63]";"Al-Qaeda in the Islamic Maghreb (suspected)";"Insurgency in the Maghreb";"July";"2017"
10;"Landmine";"0";"6";"Quirino province, Philippines";"At least six soldiers were wounded after a land mine allegedly planted by the communist New Peoples Army exploded in Barangay (village) Sangbay here on Tuesday morning.[64][65]";"New People's Army";"CPP–NPA–NDF rebellion";"July";"2017"
11;"Shooting";"8";"3";"Krabi Province, Thailand";"A terrorist attack killed at least eight people, including children, in the province of Krabi in southern Thailand. Another three people were injured.[66]";"Patani United Liberation Organisation (suspected)";"South Thailand insurgency";"July";"2017"
