"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
21;"Bombing";"134 (+2)";"180";"Sayyidah Zaynab, Syria";"February 2016 Sayyidah Zaynab bombings : Islamic State militants detonated a car bomb and later launched two suicide bombings, about 400 meters from Sayyidah Zaynab Mosque, a Shia shrine, believed to contain the grave of Prophet Muhammad's granddaughter. 83 to 134 people were killed and 180 wounded, including children. Syrian media said the attack occurred when pupils were leaving school in the area. At least 60 shops were damaged as well as cars in the area. Islamic State claimed responsibility.[36][37]";"Islamic State";"Syrian Civil War";"February";"2016"
21;"Melee attack,bombing";"1";"2";"Panchagarh District, Bangladesh";"On 21 February 2016, so-called Islamic State group has said it was behind the beheading of Jogeshwar Roy, a senior Hindu priest and wounding two worshippers in Panchagarh district of northern Bangladesh.[38]";"Islamic State";"";"February";"2016"
21;"Land mine";"2";"10+";"Arish, Sinai, Egypt";"On February 21, two civilians were killed and around ten people were injured, including policemen and passersby after an armored vehicle drove on an explosive device planted on a roadside in Arish. No group claimed responsibility, but Islamic State affiliated Wilayat Sayna is suspected.[39]";"Wilayat Sayna (suspected)";"Sinai Insurgency";"February";"2016"
22;"Bombing";"1";"38";"Esperanza, Sultan Kudarat, Philippines";"Two attackers on motorcycles threw two grenades into a crowd. The attack in the town of Esparanza wounded 38 people and killed a child of six years.[40]";"Unknown";"Civil conflict in the Philippines";"February";"2016"
22;"Suicide bombing";"14";"11";"Parwan Province, Afghanistan";"A suicide bomber kills at least 14 people including 8 civilians and 6 police officers. Another 11 people were injured. The bombing took place in Parwan Province, Afghanistan. The Taliban claimed responsibility for the attack.[41]";"Taliban";"War in Afghanistan";"February";"2016"
22;"Bombing";"2";"9";"Bujumbura, Burundi";"Assailants on a motorcycle threw three grenades into a crowd. The first grenade was thrown at Kwa Siyoni market in the district of Ngagara (north of the capital), killing one person and wounding seven. A second exploded in the market Kamenge (northeast) also killing one person and injuring two, followed by a third grenade, launched in Butere district (north-west of the capital), which has no injuries. This new killer episode comes a few hours after the arrival of the Secretary-General of the United Nations, Ban Ki-moon. Three men were arrested in connection with the attacks.[42]";"Unknown";"Burundian unrest";"February";"2016"
23;"Bombing";"0";"2-10";"Bujumbura, Burundi";"During the night of February 23, assailants threw ten grenades in deserted places of the city or on soldiers. Two soldiers were wounded in the Mutakura and another in the Musaga district. Relating the count of injured civilians, authorities said \"a dozen\".[43]";"Unknown";"Burundian unrest";"February";"2016"
24;"Melee attack";"1";"0(+1)";"Gush Etzion Junction, West Bank";"An Israeli is in serious condition after being stabbed in the chest at the Gush Etzion Junction in the West Bank south of Jerusalem. According to initial reports the attacker was shot and moderately injured.[44]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"February";"2016"
24;"Shooting";"3";"2 (+2)";"Léré, Mali";"Gunmen attack a Malian military checkpoint in the town of Léré, near the Mauritanian border with Mali, killing at least three soldiers and wounding two others.[45]";"Unknown";"Northern Mali conflict";"February";"2016"
25;"Suicide bombing";"15 (+2)";"50";"Baghdad, Iraq";"A suicide bomber killed at least 15 people and 50 others were injured at Shi'ite mosque in Baghdad.[46]";"Unknown";"Iraqi Civil War";"February";"2016"
