"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
9;"Car bombing";"2";"0";"Derik, Turkey";"One police officer and one civilian were killed in an outlawed PKK attack in the Derik of the southeastern province of Mardin.[33]";"PKK";"PKK rebellion";"April";"2016"
9;"Shooting";"0";"3";"Wajir, Kenya";"Al-Shabaab fighters attacked a police station in Wajir, injuring three police officers, they also stole a police landcruiser before burning shops in the town.[34]";"Al Shabaab";"";"April";"2016"
10;"Bombing";"1";"5";"Baghdad, Iraq";"Six people were either killed or wounded in a bomb blast northeast of Baghdad.[35]";"Unknown";"Iraqi Civil War";"April";"2016"
10;"Bombing";"2";"6";"Baghdad, Iraq";"Eight members of al-Hashed al-Shaabi had been either killed or wounded in a bomb blast in northern Baghdad.[36]";"Unknown";"Iraqi Civil War";"April";"2016"
10;"Assassination";"1";"0";"Gaziantep, Turkey";"Halab Today TV presenter Mohammed Zahir al-Sherqat was shot in the neck at close range in Gaziantep. He succumbed to his wounds in a hospital in Gaziantep near the Syrian border on 12 April. Islamic State claimed the attack.[37]";"Islamic State";"Syrian Civil War";"April";"2016"
11;"Bombing";"2";"0";"Kabul, Afghanistan";"A bomb killed at least two people in Kabul.[38]";"Taliban";"War in Afghanistan";"April";"2016"
11;"Suicide bombing";"5 (+1)";"7";"Mogadishu, Somalia";"A suicide bomber detonated a car bomb near a busy restaurant in Mogadishu killing five people and wounding seven. Al-Shabaab claimed responsibility.[39]";"Al-Shabaab";"War in Somalia";"April";"2016"
11;"Suicide bombing";"6 (+1)";"12";"Hit, Iraq";"6 people were killed and 12 injured in a suicide bombing in central Iraq. ISIL is most likely responsible.[40]";"Islamic Statesuspected";"Iraqi Civil War";"April";"2016"
11;"Suicide bombing";"12 (+1)";"38";"Jalalabad, Afghanistan";"A Suicide bomber riding a motorcycle rammed a bus carrying new Army recruites and detonated explosives, killing 12 army recruits and wounding another 38. No group claimed responsibility.[41]";"Unknown";"War in Afghanistan";"April";"2016"
11;"Shooting";"5";"6";"Ruyigi, Burundi";"A gunman killed 5 civilians and wounded 6 at a market in Ruyigi near the Tanzanian border.[42]";"Unknown";"Burundian unrest";"April";"2016"
11;"Shooting";"7";"0";"Kandahar, Afghanistan";"A policeman shoot dead 7 fellow policemen in Kandahar. The shooter was apparently a Taliban militant who infiltrated police.[43]";"Taliban";"War in Afghanistan";"April";"2016"
11;"Suicide bombing";"3 (+1)";"0";"Stavropol, Russia";"Three men including at least one suicide bomber have attacked a police station in Russia's Stavropol region near the north Caucasus[44]";"Unknown";"Insurgency in the North Caucasus";"April";"2016"
12;"Motorbike bombing";"2";"8";"Chana, Thailand";"A four-year-old boy and a policeman were killed, while eight others were wounded in the latest bomb attack in southern Thailand, which occurred in front of the Chana railway station.[45]";"Unknown";"South Thailand insurgency";"April";"2016"
12;"Car bombing";"2";"50";"Hani, Turkey";"A car bomb attack on a Turkish gendarmerie in the town of Hani killing at least two people and injuring 50.[46]";"PKK";"PKK rebellion";"April";"2016"
12;"Bombing";"1";"0";"Sidon, Lebanon";"A member of Fatah group died in a bomb attack in Sidon near a Palestinian refugee camp.[47]";"Unknown";"";"April";"2016"
12;"Mortar attack";"0";"4";"Tal Maghaz, Iraq";"A mortar shell launched by Islamic State had fallen on the village of Tal Maghaz, resulting in the injury of four elements of the Peshmerga.[48]";"Islamic State";"Iraqi Civil War";"April";"2016"
12;"Land mine";"3";"1";"near Tessalit, Mali";"Three French soldiers were killed and another wounded in the explosion of a bomb under their car. The soldiers were members of the Operation Barkhane.[49]";"Unknown";"Northern Mali conflict";"April";"2016"
12;"Suicide bombing";"4 (+1)";"0";"Aden, Yemen";"At least 4 people died in a suicide bombing in the city of Aden.[50]";"Islamic State";"Yemeni Civil War";"April";"2016"
12;"Shooting";"1";"2";"Swat District, Pakistan";"A gunman killed one and two others were wounded in Swat District.[51]";"Tehrik-i-Taliban Pakistan";"War in North-West Pakistan";"April";"2016"
12;"Rocket attack";"2";"8";"Kilis, Turkey";"Eight people were wounded when rockets fired from an area in Syria controlled by Islamic State jihadists crashed into the centre of Kilis. One of the wounded died later in the day and another overnight.[52]";"Islamic State";"Turkey–ISIL conflict";"April";"2016"
13;"Shooting";"1";"4";"Misrata, Libya";"One security guard was killed and four others were injured on in an Islamic State attack on a military checkpoint in Misrata.[53]";"Islamic State";"Second Libyan Civil War";"April";"2016"
13;"Car bombing";"0";"6";"Makhmour, Iraq";"Six Iraqi soldiers in Makhmour were wounded by a car bombing perpetrated by the Islamic State.[54]";"Islamic State";"Iraqi Civil War";"April";"2016"
13;"Bombing";"1";"5";"Baghdad, Iraq";"A bomb exploded near Rasheed fruits and vegetables market in Abu Dshir neighbourhood in al-Darwa district in southern Baghdad, killing one person and injuring five others.[55]";"Unknown";"Iraqi Civil War";"April";"2016"
14;"Bombing";"2";"7";"Baghdad, Iraq";"A bomb exploded in the district of Mahmudiya in southern Baghdad, killing two people and injuring seven others.[56]";"Unknown";"Iraqi Civil War";"April";"2016"
14;"Bombing";"1";"7";"Baghdad, Iraq";"A bomb exploded near shops in al-Tobji area in western Baghdad, killing one person and wounding seven others.[57]";"Unknown";"Iraqi Civil War";"April";"2016"
14;"Shooting";"8";"0";"Takhar Province, Afghanistan";"Eight people, seven police officers and the Kandahar Highway Police Chief, were killed when a police convoy was attacked.[58]";"Taliban suspected";"War in Afghanistan";"April";"2016"
15;"Bombing";"0";"4";"Yarang, Thailand";"Four Army rangers were injured when they were attacked by homemade bomb during a routine morning patrol in the Yarang district of Pattani.[59]";"Unknown";"South Thailand insurgency";"April";"2016"
15;"Bombing";"3";"0";"Bukavu, Democratic Republic of Congo";"Three people were killed after a grenade explosion in Bukavu, South Kivu.[60]";"Unknown";"Kivu conflict";"April";"2016"
15;"Melee attack";"1";"0";"Lagos, Nigeria";"A vehicle waylaid a bus and a passenger on the bus was dragged out of the it and butchered by unknown gunmen. The victim is identified as forty year old Olusola Bamidele.[61]";"Unknown";"";"April";"2016"
15;"Land mine";"4";"2";"Savur, Turkey";"At least four Turkish Army soldiers are killed and two others are wounded after a roadside bomb hit their vehicle in the southeast Mardin Province.[62]";"PKK";"PKK rebellion";"April";"2016"
16;"Bombing";"2";"8";"Baghdad, Iraq";"A bomb exploded near a popular market in Al Barriya area in western Baghdad, killing two people and injuring eight others.[63]";"Unknown";"Iraqi Civil War";"April";"2016"
16;"Suicide car bombing";"1 (+1)";"5";"Aden, Yemen";"Police at a checkpoint opened fire at a car traveling at high speed which then exploded, wounding at least five officers. One of the policemen later died in hospital.[64]";"Unknown";"Yemeni Civil War";"April";"2016"
16;"Suicide car bombing";"4 (+1)";"2";"Aden, Yemen";"Four Yemeni soldiers were killed and two others were wounded in a suicide attack on a checkpoint near the international airport in Aden.[65]";"Islamic State";"Yemeni Civil War";"April";"2016"
16;"Bombing";"0";"3";"Essen, Germany";"A bomb exploded at a Sikh wedding ceremony in Essen, Germany, injuring at least three people. A masked assailant was seen leaving the scene.[66] Two 16-year-old Islamic extremists were arrested in relation to the bombing on 21 April.[67]";"Islamist Lone wolf";"Wave of Terror in Europe";"April";"2016"
16;"Shooting";"0 (+3)";"2 (+6)";"Rafah, Egypt";"Two soldiers were reportedly injured and three militants killed in an attack that targeted the Armed Forces’ near the entrance to Rafah in North Sinai. [68]";"Wilayat Sayna suspected";"Sinai insurgency";"April";"2016"
17;"Land mine";"1";"3";"Nusaybin,
Turkey";"One police officer was killed while three others were wounded as militants detonated an improvised explosive device during the passage of policemen in Nusaybin, in southeastern Mardin province.";"PKK";"PKK rebellion";"April";"2016"
17;"Shooting";"0";"2";"Baghdad, Iraq";"Unidentified militants attacked a patrol belonging to the army in the area of Arab Jibor, south of Baghdad and opened their fire against its elements, resulting in the injury of two soldiers.[69]";"Unknown";"Iraqi Civil War";"April";"2016"
17;"Bombings";"2";"4";"Baghdad, Iraq";"An officer and a soldier had been killed and four others were injured in two bombings that took place north of Baghdad.[70]";"Unknown";"Iraqi Civil War";"April";"2016"
17;"Shooting";"4";"0";"Bujumbura, Burundi";"Four members of the ruling party were killed in a bar while they were gathering for an environmental clean-up exercise.[71]";"Unknown";"Burundian unrest";"April";"2016"
17;"Shooting";"1";"0";"Rafaï, Central African Republic";"A Moroccan peacekeeper of Minusma was killed during of an attack by alleged members of the Lord's Resistance Army.[72]";"Lord's Resistance Army";"Central African Republic Civil War";"April";"2016"
17;"Shooting";"1";"0";"Lower Shebelle, Somalia";"Unknown gunmen have opened fire on a civilian bus near Shalanbod village in Lower Shebelle region, killing at least one passenger on the spot.[73]";"Unknown";"War in Somalia";"April";"2016"
17;"Shooting";"1";"1";"Mogadishu, Somalia";"A cleaning lady working for the UNHCR HQ, Fowsiya Hassan Elmi, in Mogadishu was killed and another woman wounded by pistol-wielding men on a motorbike.[74]";"Al-Shabaab suspected";"War in Somalia";"April";"2016"
17;"Mortar Attack";"0";"4";"Abu Karma, Iraq";"Four civilians had been injured as a result of the fall of seven mortar shells on the village of Abu Karma.[75]";"Islamic State";"Iraqi Civil War";"April";"2016"
18;"Bombing";"1";"7";"Baghdad, Iraq";"An explosive device exploded near a popular market in Euphrates neighbourhood in western Baghdad, killing one person and injuring seven others.[76]";"Unknown";"Iraqi Civil War";"April";"2016"
18;"Shooting, car bombing";"4 (+1)";"0";"Mogadishu, Somalia";"Al-Shabaab opened fire at a government vehicle killing three civilians. The vehicle was laden with explosives and detonated remotely which killed another person. One of the attackers were killed.[77]";"Al-Shabaab";"War in Somalia";"April";"2016"
18;"Rocket attack";"5";"6";"Kilis, Turkey";"Four rocket projectiles fired from Syria struck a Turkish border town, killing three Syrian children and a Syrian man. A Turkish citizen and five other Syrians were also wounded in the rocket fire that hit the southern town of Kilis, where the Syrian refugee population outnumbers the local population. One people die later.[78]";"Islamic State";"Syrian Civil War";"April";"2016"
18;"Bombing";"0 (+1)";"21";"Jerusalem, Israel";"2016 Jerusalem bombing: An explosion on board a bus in Jerusalem has injured at least 21 people, including two seriously.[79][80]";"Hamas";"Israeli-Palestinian conflict";"April";"2016"
19;"Motorbike bombing";"1";"11";"Thepha District, Thailand";"A motorcycle bombing attack in Thailand's southern province of Songkhla on Tuesday evening has left one man dead and another 11 others injured, including a child.[81]";"Unknown";"South Thailand insurgency";"April";"2016"
19;"Suicide car bombing, shooting";"64 (+1)";"347";"Kabul, Afghanistan";"2016 Kabul attack: A Taliban suicide bomb and gun assault on a government security building during morning rush hour in central Kabul killed at least 28 people and wounded more than 320, in the most deadly single attack in the Afghan capital since 2011.[82][83]";"Taliban";"War in Afghanistan";"April";"2016"
19;"Suicide bombing";"1(+1)";"18";"Mardan, Pakistan";"One person was killed and eighteen injured in a suicide blast in Mardan at an Excise and Taxation office.[84]";"Unknown";"War in North-West Pakistan";"April";"2016"
19;"Bombing";"2";"5";"Baghdad, Iraq";"A bomb exploded near shops in Saidiya district in southern Baghdad, killing two people and wounding five others.[85]";"Unknown";"Iraqi Civil War";"April";"2016"
19;"Bombing";"1";"8";"Baghdad, Iraq";"A bomb exploded near al-Daght street in Ghazaliya district in western Baghdad, killing one person and wounding eight others.[86]";"Unknown";"Iraqi Civil War";"April";"2016"
19;"Rocket attack";"3";"8";"Sheikh Zuweid, Egypt";"Three Egyptian riot policemen were killed in a rocket attack on their convoy in the Sinai Peninsula.[87][88]";"Wilayat Sayna suspected";"Sinai insurgency";"April";"2016"
19;"Land mine";"2";"4";"Sirnak Province,
Turkey";"A sergeant and a specialized sergeant were killed while four others were wounded as militants from the outlawed Kurdistan Workers' Party detonated a homemade bomb in the Bahçelievler neighbourhood of the southeastern Sirnak Province on April 19.[89]";"PKK";"PKK rebellion";"April";"2016"
20;"Chemical attack";"0";"6";"Abu Shith, Iraq";"Islamic State attacked the Peshmerga forces near Abu Shith village in Kuwer axis using 12 chemical rockets. The shelling resulted in the wounding of 6 members of the Peshmerga forces.[90]";"Islamic State";"Iraqi Civil War";"April";"2016"
20;"Bombing";"0";"5";"Takbai, Thailand";"Five local volunteer members of Narathiwat police in Takbai were injured when a bomb exploded.[91]";"Unknown";"South Thailand insurgency";"April";"2016"
20;"Bombing";"0";"5";"Pattani, Thailand";"About one hour before the incident in Takbai, a bomb had exploded in Pattani, reportedly leaving five policemen.[91]";"Unknown";"South Thailand insurgency";"April";"2016"
20;"Bombing";"1";"2";"al-Had al-Akhdar, Iraq";"An explosive device that was emplaced inside an orchard near the village of al-Had al-Akhdar (17 km northeast of Baqubah) exploded, killing a farmer and wounding two others.[92]";"Unknown";"Iraqi Civil War";"April";"2016"
20;"Bombing";"2";"8";"Baghdad, Iraq";"A bomb exploded near a popular market in al-Yusufiya area in southern Baghdad, killing two people and wounding eight others.[93]";"Unknown";"Iraqi Civil War";"April";"2016"
20;"Bombing";"1";"3";"Baghdad, Iraq";"A bomb exploded targeting a police patrol while passing in Arab Jabour village in al-Dawra area in southern Baghdad, killing one of its occupants and wounding three others.[94]";"Unknown";"Iraqi Civil War";"April";"2016"
20;"Falling";"5";"0";"Mosul, Iraq";"Islamic State executed two of its elements and three civilians by throwing them from the top of a high building in the area of Bab al-Tub in central Mosul.[95]";"Islamic State";"Iraqi Civil War";"April";"2016"
20;"Suicide bombing";"7-8 (+2)";"Unknown";"Banki, Nigeria";"At least seven or eight people have been killed at a refugee camp in Nigeria after two female suicide bombers blew themselves up. The bombing took place in the north-east of Nigeria near the border with Cameroon. Several people were wounded in the attack though details still remain sketchy.[96][97]";"Boko Haram";"Boko Haram insurgency";"April";"2016"
21;"Bombing";"2";"3";"Baghdad, Iraq";"A bomb exploded targeting a vehicle belonging to Al-Hashd al-Shaabi members, while passing in Hor Rajab village in al-Darwa area in southern Baghdad, killing two of its occupants and wounding three others including the driver.[98]";"Unknown";"Iraqi Civil War";"April";"2016"
21;"Bombing";"1";"8";"Baghdad, Iraq";"A bomb exploded near a popular market in al-Bakriya area in western Baghdad, killing one person and injuring eight others.[99]";"Unknown";"Iraqi Civil War";"April";"2016"
21;"Shooting";"1";"3";"Zaghniya, Iraq";"Islamic State members launched an armed attack on a police checkpoint in the vicinity of Zaghniya village (15 km northeast of Baqubah), killing a policeman and wounding two others.[100]";"Islamic State";"Iraqi Civil War";"April";"2016"
21;"Land mine";"6";"0";"Ramadi, Iraq";"Six civilians were killed in the explosion of six booby-trapped houses in Ramadi.[101]";"Islamic State";"Iraqi Civil War";"April";"2016"
21;"Bombing";"2";"8";"Baghdad, Iraq";"An explosive device exploded in a popular cafe in Madain area in southern Baghdad, killing two people and wounding eight others.[102]";"Unknown";"Iraqi Civil War";"April";"2016"
21;"Shooting";"1";"0";"Bruwana al-Kabira, Iraq";"Unidentified gunmen attacked an element of Al-Hashd al-Shaabi near the village of Bruwana al-Kabira (13 km northeast of Baqubah) and opened their fire against him, resulting in his immediate death.[103]";"Unknown";"Iraqi Civil War";"April";"2016"
21;"Shooting";"1";"0";"Jendouba, Tunisia";"A man was wounded during an attack by two jihadists in a mountainous area northwest of Tunisia. The shooting takes place in Jendouba aera.[104]";"Unknown";"ISIL insurgency in Tunisia";"April";"2016"
21;"Shooting";"250+";"Unknown";"Mosul, Iraq";"At least 250 Iraqi woman were executed by Islamic State fighters because they refused to become sex slaves.[105]";"Islamic State";"Iraqi Civil War";"April";"2016"
22;"Land mine";"3";"0";"Tunceli, Turkey";"Three soldiers who were in the car were killed in a bomb attack by the outlawed Kurdistan Workers' Party in the eastern province of Tunceli.[106]";"PKK";"PKK rebellion";"April";"2016"
22;"Suicide bombing";"7(+2)";"23";"Baghdad, Iraq";"At least nine people have been killed in a suicide bombing at a Shia mosque in southwest Baghdad. At least 25 others were wounded.[107][108]";"Unknown";"Iraqi Civil War";"April";"2016"
23;"Melee attack";"1";"0";"Rajshahi, Bangladesh";"A university professor has been hacked to death in northwestern Bangladesh. Rezaul Karim Siddique was attacked on his way to the state-run university in the city of Rajshahi, where he taught English. The Islamic State claimed responsibility for the attack.[109]";"Islamic State";"Internal conflict in Bangladesh";"April";"2016"
23;"Bombing";"1";"8";"Baghdad, Iraq";"A bomb exploded in al-Shaab district northeast of Baghdad, killing one person and wounding eight others.[110]";"Unknown";"Iraqi Civil War";"April";"2016"
23;"Suicide bombing";"1 (+1)";"4";"Baghdad, Iraq";"One soldier was killed and four other were wounded in a suicide bombing, that targeted a security post belonging to the army, in the area of al-Husseiniya, north of the capital of Baghdad.[111]";"Unknown";"Iraqi Civil War";"April";"2016"
23;"Attack";"1";"7";"Brega, Libya";"ISIL fighters attacked an oil plant south of Brega. The aftermath of the attack was a killed guard and seven other wounded people.";"Islamic State";"Second Libyan Civil War";"April";"2016"
23;"Bombing";"0";"2";"Baghdad, Iraq";"An improvised explosive device emplaced on the roadside in Abu Dsheir area in southern Baghdad exploded, wounding two civilians.[112]";"Unknown";"Iraqi Civil War";"April";"2016"
23;"Freezing";"45";"Unknown";"Baghdad, Iraq";"ISIS reportedly killed 45 by locking inside a forensic freezer after they attempted to flee during a battle in Iraq.";"Islamic State";"Iraqi Civil War";"April";"2016"
24;"Rocket attack";"3";"0";"Sheikh Zuweid, Egypt";"An explosion rocked the volatile peninsula, killing three members of Egyptian military forces. The incident took place when security forces were on patrol to arrest terrorists in a village south of the town of Sheikh Zuweid, located in North Sinai .[113]";"Wilayat Sayna suspected";"Sinai insurgency";"April";"2016"
24;"Grenade attack";"0";"2";"Bujumbura, Burundi";"Human rights Minister Martin Nivyabandi and his wife were injured when a grenade was thrown into their car.[114]";"Unknown";"Burundian unrest";"April";"2016"
24;"Massacre";"30+";"Unknown";"Alau.Nigeria";"Boko Haram have been reported to have murdered a total of 30 peoples during a raid in Alau village in Borno State.[115]";"Boko Haram";"Boko Haram insurgency";"April";"2016"
25;"Motorbike bombing";"1";"20";"Narathiwat, Thailand";"Two bombs rigged to motorcycles exploded simultaneously in two locations in Narathiwat province. The explosions killed one person, and injured 20 others.[116]";"Unknown";"South Thailand insurgency";"April";"2016"
25;"Shooting";"2";"0";"Yala Province, Thailand";"In nearby Yala Province, two rubber farmers were killed in a roadside shooting.[116]";"Unknown";"South Thailand insurgency";"April";"2016"
25;"Melee attack";"1";"0";"Jolo, Philippines";"Canadian John Ridsdel, kidnapped in September in the Philippines, was executed by his captors, the Abu Sayyaf terrorist group. The head of the victim was found in Jolo, a mountainous island in the extreme south of the Philippines, and a stronghold of the Islamist group.[117]";"Abu Sayyaf";"Moro Conflict";"April";"2016"
25;"Shooting";"3";"3";"Bujumbura, Burundi";"An advisor of the vice president was shot dead in the capital by unknown gunmen, while he was dropping of his daughter for school. Brig. Gen. Athanase Kararuza was killed along with his wife and one of his bodyguards. His daughter, another bodyguard and his driver were injured.[118]";"Unknown";"Burundian unrest";"April";"2016"
25;"Land mine";"4";"16";"Nusaybin, Turkey";"One soldier were killed after an explosive was detonated by PKK members in southeastern Turkey. Sixother soldiers were also wounded in the explosion that happened in the heart of the Nusaybin district. After the first attack three Turkish soldiers were killed and 10 wounded during security operations in the first attack's zone when another explosive detonated.[119]";"PKK";"PKK rebellion";"April";"2016"
25;"Melee attack";"2";"1";"Dhaka, Bangladesh";"Xulhaz Mannan, an employee of the U.S. Embassy in Dhaka and the editor of Bangladesh's first and only LGBT magazine, was hacked to death in his apartment along with his friend.[120]";"AQIS";"Internal conflict in Bangladesh";"April";"2016"
25;"Bombing";"7";"9";"Baghdad, Iraq";"[121][122]";"Unknown";"Iraqi Civil War";"April";"2016"
25;"Car bombing";"3";"18";"New Baghdad, Iraq";"[123]";"Unknown";"Iraqi Civil War";"April";"2016"
